Date,AGG,BNP.PA,EURUSD=X,EXSA.DE,F,GD=F,GM,GOOG,MA,MBG.DE,MCD,SNAP,SPY,TSLA,UBER,VOW3.DE
2016-02-01,93.17442321777344,26.087806701660156,1.0825908184051514,33.54999923706055,9.250897407531738,292.70001220703125,25.05036163330078,37.599998474121094,85.109619140625,43.18060302734375,105.28987884521484,,171.5233917236328,13.129332542419434,,86.33527374267578
2016-02-02,93.45653533935547,25.242143630981445,1.0897282361984253,32.9900016784668,8.821693420410156,285.79998779296875,24.66765785217285,38.23249816894531,82.51688385009766,43.27682113647461,104.7322006225586,,168.43209838867188,12.185333251953125,,84.33909606933594
2016-02-03,93.447998046875,26.145244598388672,1.0922038555145264,32.91999816894531,8.783370971679688,295.75,24.060327529907227,36.34749984741211,83.0354232788086,41.88167190551758,102.63673400878906,,169.44189453125,11.565333366394043,,84.00638580322266
2016-02-04,93.54203796386719,26.534568786621094,1.1091023683547974,32.650001525878906,8.83702278137207,293.45001220703125,23.827375411987305,35.4005012512207,82.9009780883789,42.12221908569336,101.9522933959961,,169.7076416015625,11.688667297363281,,85.79464721679688
2016-02-05,93.45653533935547,,1.119996428489685,,8.77570629119873,289.8500061035156,23.744182586669922,34.17850112915039,79.47277069091797,,97.50782775878906,,166.47463989257812,10.84000015258789,,
2016-02-06,,,,,,,,,,,,,,,,
2016-02-07,,25.08258628845215,,31.450000762939453,,,,,,40.79581069946289,,,,,,81.4778823852539
2016-02-08,93.81559753417969,24.189058303833008,1.114504098892212,30.90999984741211,8.883008003234863,285.8500061035156,23.860658645629883,34.137001037597656,77.44658660888672,40.651485443115234,98.05705261230469,,164.23373413085938,9.866000175476074,,79.44842529296875
2016-02-09,93.80709075927734,25.37298011779785,1.1189812421798706,31.510000228881836,8.699063301086426,276.45001220703125,23.186769485473633,33.90549850463867,78.71414947509766,40.754573822021484,98.86820983886719,,164.2425994873047,9.883333206176758,,80.98715209960938
2016-02-10,94.03787994384766,23.844411849975586,1.1289994716644287,30.3700008392334,8.691398620605469,276.1499938964844,23.05365562438965,34.20600128173828,80.00091552734375,40.43156051635742,99.31602478027344,,164.10089111328125,9.57800006866455,,78.18416595458984
2016-02-11,94.09774780273438,25.254905700683594,1.128095269203186,31.34000015258789,8.56110668182373,273.29998779296875,22.379762649536133,34.15549850463867,78.84857177734375,41.861061096191406,98.63162994384766,,161.96624755859375,10.031332969665527,,79.18225860595703
2016-02-12,93.84126281738281,,1.1317979097366333,,8.852350234985352,285.3500061035156,23.05365562438965,34.119998931884766,81.51817321777344,,99.64558410644531,,165.3054962158203,10.06933307647705,,
2016-02-13,,,,,,,,,,,,,,,,
2016-02-14,,25.918670654296875,,32.2400016784668,,,,,,43.15998458862305,,,,,,84.63020324707031
2016-02-15,,25.7208194732666,1.1225990056991577,32.15999984741211,,,,,,42.836971282958984,,,,,,83.29940032958984
2016-02-16,93.61040496826172,26.655834197998047,1.1174057722091675,32.93000030517578,9.097611427307129,290.8999938964844,23.7774600982666,34.54999923706055,82.75691986083984,44.57574462890625,100.7017593383789,,168.09556579589844,10.344667434692383,,86.75115203857422
2016-02-17,93.55912780761719,26.14204978942871,1.1147029399871826,32.959999084472656,9.404186248779297,300.25,24.35151481628418,35.41999816894531,83.74603271484375,44.479522705078125,100.24549865722656,,170.8413848876953,11.245332717895508,,87.7076644897461
2016-02-18,93.84126281738281,25.854846954345703,1.112297534942627,32.779998779296875,9.396522521972656,299.45001220703125,24.15184211730957,34.86750030517578,82.62248229980469,43.55172348022461,99.00340270996094,,170.14163208007812,11.118000030517578,,84.87972259521484
2016-02-19,93.85834503173828,,1.1110987663269043,,9.273892402648926,293.70001220703125,23.943851470947266,35.045501708984375,83.34270477294922,,98.46263885498047,,170.06195068359375,11.10533332824707,,
2016-02-20,,,,,,,,,,,,,,,,
2016-02-21,,26.652639389038086,,33.27000045776367,,,,,,44.25273132324219,,,,,,88.45623779296875
2016-02-22,93.88399505615234,25.963346481323242,1.1123965978622437,32.849998474121094,9.626452445983887,300.54998779296875,24.651018142700195,35.323001861572266,84.331787109375,43.1943473815918,99.42589569091797,,172.5242462158203,11.849332809448242,,85.9194107055664
2016-02-23,93.9011001586914,25.47829246520996,1.102803349494934,32.150001525878906,9.51915168762207,294.6499938964844,24.443031311035156,34.79249954223633,82.7857437133789,41.42808151245117,98.77527618408203,,170.34536743164062,11.814000129699707,,81.92703247070312
2016-02-24,93.93527221679688,26.489891052246094,1.1027060747146606,32.77000045776367,9.258563041687012,298.95001220703125,23.9937686920166,34.97800064086914,82.98739624023438,41.76484298706055,98.91045379638672,,171.1248016357422,11.933333396911621,,82.3428955078125
2016-02-25,94.17464447021484,27.0930233001709,1.1013944149017334,33.29999923706055,9.496158599853516,301.04998779296875,24.54286766052246,35.287498474121094,83.94766998291016,43.0568962097168,100.01734161376953,,173.1974334716797,12.495332717895508,,86.16891479492188
2016-02-26,94.00369262695312,,1.1024993658065796,,9.557474136352539,299.54998779296875,24.651018142700195,35.253501892089844,84.09172058105469,,99.65978240966797,,172.79881286621094,12.689332962036133,,
2016-02-27,,,,,,,,,,,,,,,,
2016-02-28,,27.44405174255371,,33.560001373291016,,,,,,43.36616134643555,,,,,,89.5790786743164
2016-02-29,94.11482238769531,28.088665008544922,1.0923947095870972,34.060001373291016,9.58813190460205,304.3999938964844,24.492952346801758,34.88850021362305,83.46752166748047,44.45890808105469,99.77046203613281,,171.44366455078125,12.795332908630371,,93.65464782714844
2016-03-01,93.83299255371094,29.026866912841797,1.0888975858688354,34.20000076293945,10.032665252685547,305.45001220703125,24.967166900634766,35.94049835205078,86.52122497558594,45.62725067138672,101.1837158203125,,175.47377014160156,12.423333168029785,,96.23306274414062
2016-03-02,93.73021697998047,29.189619064331055,1.0875948667526245,34.099998474121094,10.132303237915039,306.20001220703125,25.083637237548828,35.942501068115234,86.31958770751953,45.80593490600586,100.86871337890625,,176.26210021972656,12.555999755859375,,96.60735321044922
2016-03-03,93.84156036376953,29.66829490661621,1.086897373199463,34.380001068115234,10.377562522888184,307.20001220703125,25.849044799804688,35.62099838256836,86.17552185058594,46.252662658691406,99.34477996826172,,176.95297241210938,13.049332618713379,,100.64131927490234
2016-03-04,93.69591522216797,,1.094894528388977,,10.415884017944336,314.1499938964844,26.0986385345459,35.544498443603516,86.47322845458984,,99.76195526123047,,177.52870178222656,13.402667045593262,,
2016-03-05,,,,,,,,,,,,,,,,
2016-03-06,,29.12260627746582,,34.290000915527344,,,,,,46.032737731933594,,,,,,97.43910217285156
2016-03-07,93.67021179199219,29.14175033569336,1.0993964672088623,33.93000030517578,10.43887710571289,323.29998779296875,26.28166389465332,34.757999420166016,84.792724609375,44.706321716308594,99.73641204833984,,177.67041015625,13.685999870300293,,93.40513610839844
2016-03-08,93.9014892578125,29.173662185668945,1.1016006469726562,34.08000183105469,10.139965057373047,318.6000061035156,25.524580001831055,34.69850158691406,83.40031433105469,44.86439514160156,100.81764221191406,,175.7306365966797,13.506667137145996,,94.1952896118164
2016-03-09,93.85869598388672,29.454484939575195,1.1004005670547485,33.470001220703125,10.109307289123535,324.95001220703125,25.72675323486328,35.262001037597656,83.71720886230469,42.99504470825195,101.85628509521484,,176.5986785888672,13.914667129516602,,90.53560638427734
2016-03-10,93.9014892578125,31.08198356628418,1.0989010334014893,34.38999938964844,10.07865047454834,324.0,25.962623596191406,35.64099884033203,83.43873596191406,44.73381042480469,102.14574432373047,,176.74034118652344,13.678667068481445,,94.56956481933594
2016-03-11,93.73021697998047,,1.1178430318832397,,10.185954093933105,326.8500061035156,26.333280563354492,36.340999603271484,85.06159973144531,,103.48238372802734,,179.59243774414062,13.833333015441895,,
2016-03-12,,,,,,,,,,,,,,,,
2016-03-13,,30.475662231445312,,34.65999984741211,,,,,,45.55165481567383,,,,,,96.14988708496094
2016-03-14,93.78155517578125,30.006559371948242,1.1167943477630615,34.130001068115234,10.170622825622559,322.5,26.265886306762695,36.52450180053711,85.34010314941406,45.65474319458008,104.6317138671875,,179.36221313476562,14.34333324432373,,93.98735046386719
2016-03-15,93.69591522216797,29.39065933227539,1.1101982593536377,34.13999938964844,10.139965057373047,318.6700134277344,26.1563777923584,36.416500091552734,85.81060791015625,46.49319839477539,105.08292388916016,,179.06985473632812,14.555999755859375,,95.35973358154297
2016-03-16,94.0985107421875,28.714134216308594,1.1109012365341187,34.15999984741211,10.346904754638672,331.70001220703125,26.695512771606445,36.804500579833984,86.434814453125,45.79219436645508,105.15953063964844,,180.106201171875,14.795332908630371,,95.4844970703125
